iter	Passed	Remaining
0	1	128
1	2	118
2	3	112
3	4	107
4	5	106
5	6	104
6	7	102
7	8	101
8	9	99
9	10	98
10	11	97
11	13	95
12	14	94
13	15	93
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	25	82
24	27	81
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	43
59	62	41
60	64	40
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	85	19
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	104	1
99	105	0
