iter	Passed	Remaining
0	1	159
1	2	144
2	4	138
3	5	129
4	6	127
5	8	125
6	9	127
7	10	126
8	12	125
9	13	123
10	15	122
11	16	120
12	17	118
13	19	117
14	20	115
15	21	113
16	23	115
17	24	113
18	26	111
19	27	110
20	28	108
21	30	106
22	31	105
23	32	103
24	33	101
25	35	100
26	36	99
27	37	97
28	39	96
29	40	94
30	41	93
31	43	91
32	44	90
33	45	88
34	46	87
35	48	85
36	49	84
37	51	83
38	52	82
39	53	80
40	55	79
41	55	77
42	57	75
43	58	74
44	60	73
45	61	72
46	63	71
47	64	70
48	66	69
49	67	67
50	69	66
51	70	65
52	72	64
53	73	62
54	74	60
55	75	59
56	77	58
57	78	57
58	80	55
59	81	54
60	82	53
61	84	51
62	85	50
63	87	49
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	95	41
70	98	40
71	99	38
72	101	37
73	102	36
74	104	34
75	105	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	114	25
82	116	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	130	11
92	132	9
93	134	8
94	135	7
95	137	5
96	139	4
97	140	2
98	141	1
99	143	0
